url	kind	angle	via	fetched_at	status	date	numbers	title	quote
https://github.com/oraios/serena	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:40+00:00	ok	2026-09-03		oraios/serena	Serena incorporates a powerful abstraction layer for the integration of language servers that implement the language server protocol (LSP).
https://github.com/blackwell-systems/agent-lsp	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:40+00:00	ok	2026-09-03		agent-lsp	blast_radius -> one call returns all exports + all callers (test vs non-test partitioned). Without orchestration: 20+ sequential LSP calls.
https://github.com/isaacphi/mcp-language-server	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:40+00:00	ok	2026-03-01		mcp-language-server	mcp-language-server helps MCP enabled clients navigate codebases more easily by giving them access semantic tools like get definition, references, rename, and diagnostics.
https://github.com/bartolli/codanna	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok	2026-08-29		codanna	One MCP call returns symbol context, call graph, and impact analysis, pre-correlated - the grep-and-read loop your agent runs today, collapsed into a single response it can act on.
https://github.com/repowise-dev/repowise	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok	2026-09-03		repowise precision caveat	The precision row cuts the other way and is worth stating as plainly: of the call edges we draw, about fifteen percent are wrong, and on seastar CodeGraph grades better than we do.
https://sourcegraph.com/mcp	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok			Sourcegraph MCP Server	Go-to-definition and find-all-references across repositories, powered by precise code indexing (SCIP, an open standard for code intelligence).
https://docs.morphllm.com/sdk/components/warp-grep	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok			WarpGrep	No embeddings, no indexing.
https://anthonywest.co.uk/research/code-intelligence-indexing-2026-openai	analyst	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok	2026-06-03		Code Intelligence and Code-Graph Indexing for AI Agents	MCP only defines how an agent calls tools. It does not decide whether a find references result came from a real language server, a Tree-sitter approximation, a stale embedding index or a vendor knowledge graph.
https://docs.sourcebot.dev/docs/features/code-navigation	vendor_docs	Which MCP servers and agent tools give AI coding agents semantic code navigation as opposed to plain text or regex search?	webfetch	2026-09-03T19:26:41+00:00	ok			Sourcebot code navigation	search-based, meaning it uses the same code search engine and query language to estimate a symbol's references and definitions
https://github.com/pzalutski-pixel/sharplens-mcp	vendor_docs	What tools give AI coding agents compiler-accurate C#/.NET code intelligence built on Roslyn, OmniSharp or the C# language server?	webfetch	2026-09-03T19:26:42+00:00	ok	2026-08-16		SharpLensMcp	A Model Context Protocol (MCP) server providing 92 AI-optimized tools for .NET/C# semantic code analysis, navigation, refactoring, and code generation using Microsoft Roslyn.
